Timeline,Values,Forecast,Confidence Interval
301,,101.7399561,32.89849651
302,,102.1994096,33.24905583
303,,104.2420575,33.5966851
304,,104.8192709,33.94147511
305,,104.1565781,34.28351228
306,,101.6461847,34.62287893
307,,102.1366548,34.95965357
308,,103.5052731,35.29391114
309,,105.4450073,35.6257232
310,,106.1509007,35.95515817
311,,106.448198,36.28228152
312,,108.1809797,36.60715591
313,,108.8250262,36.92984141
314,,108.2301403,37.25039557
315,,108.2969296,37.56887366
316,,107.9332617,37.88532869
317,,108.0388892,38.19981163
318,,108.4637019,38.51237145
319,,107.1286761,38.82305527
320,,106.5262651,39.13190843
321,,107.0392801,39.43897458
322,,107.0219907,39.7442958
323,,105.1249484,40.04791264
324,,105.8155556,40.34986421
325,,106.4074583,40.65018825
326,,104.7111185,40.9489212
327,,103.9720557,41.24609826
328,,103.3573819,41.54175343
329,,101.3293837,41.83591961
330,,101.0249614,42.12862858
331,,102.3718713,42.41991113
332,,101.3172837,42.70979704
333,,99.20032314,42.99831516
334,,97.73917918,43.28549343
335,,98.16921998,43.57135894
336,,102.5980101,43.85593794
337,,103.1168529,44.19890038
338,,103.4985624,44.48060377
339,,102.6377004,44.76110117
340,,102.4098221,45.04041568
341,,102.1196365,45.31856974
342,,101.0032285,45.59558517
343,,101.1113956,45.87148313
344,,97.63601639,46.14628424
345,,94.84034059,46.42000853
346,,93.67413612,46.6926755
347,,92.35954274,46.96430409
348,,94.12371056,47.23491278
349,,97.99558939,47.50451954
350,,97.4996472,47.77314186
351,,96.25252579,48.04079679
352,,93.24291267,48.30750096
353,,92.93454459,48.57327054
354,,92.15914828,48.83812133
355,,89.85828021,49.10206872
356,,84.95914528,49.36512772
357,,84.95414595,49.62731297
358,,86.68066712,49.88863878
359,,87.56651456,50.14911907
360,,87.9900204,50.40876749
361,,90.37131424,50.66759731
362,,92.83352949,50.92562153
363,,103.2170038,51.18285284
364,,103.1104048,51.43930364
365,,99.664762,51.69498602
366,,98.81613639,51.94991185
367,,95.8272623,52.20409268
368,,97.30180335,52.45753985
369,,96.19086475,52.71026443
370,,93.64209306,52.96227724
371,,92.42213501,53.21358889
372,,93.16272441,53.46420973
373,,93.2183693,53.71414993
374,,92.10848821,53.96341941
375,,89.47797044,54.2120279
376,,86.99735417,54.45998493
377,,86.6602116,54.70729983
378,,83.8044487,54.95398172
379,,85.84462934,55.20003958
380,,88.36546665,55.44548216
